source,target,Correlation
139,250,0.8254791976556652
416,420,0.8251471030031299
159,456,0.8251452215656108
327,418,0.824548228242998
5,463,0.8239764759981089
479,566,0.8236543112039484
5,85,0.8236258315539844
271,274,0.8234104848439712
571,573,0.8233245092362074
20,94,0.822656520775583
29,276,0.8220342783977329
84,360,0.8220049582927024
11,463,0.8218911997102263
413,414,0.8214628984642042
84,372,0.8213667004546553
71,354,0.8211731169222419
185,403,0.821076326257537
182,313,0.8206108941254091
421,476,0.8201165419904917
390,397,0.8198286759183501
25,307,0.8190096686837339
395,478,0.8189990566218204
392,476,0.8188341068891478
85,356,0.8185175746946944
75,84,0.8176024918110565
151,277,0.8174692392512571
94,310,0.8174416327227528
153,372,0.8172393577467633
398,566,0.8171871085257031
390,395,0.8166390484839041
153,283,0.8164330657093559
420,519,0.81621764597363
66,76,0.8161547616711642
29,479,0.8161142790823098
392,395,0.816095699294086
208,572,0.8160098071995632
113,400,0.8157411386955362
386,478,0.8155020420054083
123,228,0.8153685821240574
565,572,0.815135776488037
182,403,0.8150641500838383
360,370,0.8147295735750868
181,182,0.8145914952610038
29,99,0.814584414387962
110,185,0.8144611037762131
110,182,0.8144514942551067
276,566,0.8130261477692152
95,185,0.8128595520571158
84,182,0.8128569175317609
327,472,0.8125165900505386
75,105,0.8122893355551851
164,222,0.8120426989893236
208,280,0.8119622481096342
29,392,0.8115968831540901
164,509,0.8107498545510916
79,360,0.81070742622451
95,479,0.8104486861879897
249,548,0.8098558705528182
354,361,0.8096596422019177
75,80,0.8095957092292129
110,392,0.809164686339515
566,570,0.8091463359291863
108,183,0.80902621991067
95,276,0.8086026426782715
310,413,0.8084078038549054
252,549,0.8080613909408222
75,183,0.8076051234198665
313,476,0.8075219428998084
75,360,0.80750673871689
94,306,0.8074402468949843
413,519,0.8072429520240244
185,395,0.807089741553376
395,476,0.8070577706687635
222,239,0.8064129141379597
32,425,0.8063958020370348
403,574,0.8062574318221103
84,181,0.8057810972612294
395,474,0.8055823035849351
25,518,0.8055345198247085
272,283,0.8055099214292074
108,405,0.8053315618319056
370,404,0.8049809118213447
269,271,0.8045979341882312
416,478,0.8044982310545089
149,150,0.8043395137775989
84,105,0.8039470061264943
164,466,0.803920627345331
79,398,0.8039159244457542
271,275,0.8038655583293104
182,404,0.8036754604407697
357,395,0.8036071672660562
466,536,0.8033369939077899
472,479,0.8032727165254963
273,277,0.8031484995320525
84,108,0.8031332102804515
392,474,0.8029138089028984
151,357,0.8027395273364855
392,403,0.8023476478587395
405,476,0.8023447652480663
420,422,0.8023093562723062
123,231,0.802052536999196
169,466,0.8018898011368354
404,566,0.8018778821656349
8,221,0.8011331255394527
67,80,0.8009854393654682
306,518,0.800687909253171
479,519,0.8006147727980746
192,243,0.8003979475130669
185,404,0.8001028895054824
421,518,0.8000683880544691
222,536,0.799944874102529
151,153,0.7999350005937963
372,395,0.79978305046126
359,363,0.7995054487047647
272,571,0.7988886725851758
185,283,0.7986733913286274
275,568,0.7981996821313718
164,425,0.7978688931390031
363,367,0.7976788053742199
95,96,0.797615642150299
164,216,0.7975735787721188
164,464,0.7975056398142872
127,179,0.7975023162026623
164,527,0.7974121868234482
422,423,0.7972704218679153
42,179,0.7970459987864914
392,405,0.7970455154946986
185,313,0.7969924916673756
230,306,0.7969560782035037
564,565,0.7969087635898477
153,395,0.7968489249424732
478,519,0.796827292686334
169,216,0.7967417704817621
360,372,0.7967372748773414
488,541,0.796564380130191
272,274,0.7963283181658611
84,370,0.7959585979198103
25,306,0.7955852835930455
398,574,0.7955818534705941
386,476,0.7952841298366978
386,392,0.7951984497970782
83,463,0.79493901205935
126,127,0.7948672827220343
372,398,0.7946810858387421
425,526,0.794609397422621
107,400,0.794547746315
472,518,0.7944749267512073
79,108,0.7942901373547386
151,276,0.7938643658189916
96,235,0.7935729334829815
84,185,0.7928864794105772
123,180,0.7928183663030193
96,183,0.7926523043616148
566,571,0.7923653649728771
29,94,0.7921245334609743
79,370,0.7917272795446404
243,247,0.7913799817274659
277,283,0.7913356582030341
184,237,0.7911114543784282
230,231,0.7909548826670688
306,313,0.7909245233123784
25,29,0.790702111666054
418,423,0.7906936190419088
20,310,0.7906721491650044
25,94,0.7904325668288794
252,548,0.7903807348593082
398,571,0.7903027108053584
370,395,0.7902736203058394
85,359,0.7900821976820634
107,114,0.7899693822551136
108,392,0.789434625088092
151,372,0.7894026175274516
1,227,0.7892024362825576
403,566,0.7888530037478565
101,112,0.7888295588414825
370,405,0.7886589054928304
60,164,0.7885789272636798
75,153,0.7884970955800151
222,509,0.7884201069273151
418,519,0.7883981346717361
153,183,0.7883077458555765
183,235,0.788305929199483
84,398,0.7882895255416532
271,567,0.7879345707301209
327,519,0.7878929320359468
274,571,0.7878441505871379
79,283,0.7878328395485933
108,404,0.7877497566832534
164,462,0.7876772416891991
310,327,0.7875504547980658
310,479,0.7875462146900659
488,540,0.7875242319002528
392,404,0.7875121934421809
271,564,0.7873673130684309
421,478,0.7869907740028012
