source,target,Correlation
404,566,0.8489123732253169
416,472,0.8486546149831204
96,235,0.8486131576695982
398,574,0.8483814190043613
398,570,0.8481742415671903
108,185,0.8480217776302202
103,107,0.8475315533823953
327,421,0.8471804570926446
306,310,0.8469346508188993
29,310,0.8468027610284697
283,571,0.8465486913152305
84,395,0.8433114617949365
20,307,0.8428049394850792
462,463,0.8415859797071482
313,479,0.8415317243065559
25,307,0.8412314868610945
386,395,0.8410049598123892
392,403,0.8408745796878498
307,518,0.8401247545215027
433,541,0.8399344769826406
421,474,0.839714276574139
423,519,0.8387070134224088
414,535,0.8383805638842003
99,392,0.8374921414189725
547,549,0.8370727993326273
84,105,0.8368058487901077
95,110,0.8362190035811952
414,416,0.8359561083799941
94,230,0.835874581594512
67,109,0.8356770037098696
313,508,0.8356606586151134
126,179,0.8353946414315601
99,313,0.8353162036308182
357,476,0.8351936423076557
185,392,0.8350634488346526
270,271,0.8349261360179613
386,390,0.8348466220938242
404,570,0.8341182275157657
95,574,0.8340737968977364
20,94,0.8339125210192975
269,270,0.8339107679064962
404,405,0.8338987767619374
261,502,0.8337603503362384
327,472,0.8321364873918128
79,153,0.8319296428017452
192,243,0.8313735062472017
84,574,0.830842778088892
95,230,0.8307914618471326
420,422,0.830677862336952
230,306,0.8304360389238402
416,423,0.8304187985881323
110,111,0.8301046415730056
392,398,0.8300156504639647
421,476,0.8294143846638034
95,566,0.8284077115353252
110,182,0.828176032309239
108,404,0.8275855030971891
108,182,0.8273483307183058
182,185,0.8262739728226562
185,404,0.8255508345945893
476,519,0.8254364290801276
183,235,0.8243501819596251
476,479,0.8242152649966007
319,426,0.8241747586533895
228,237,0.8241042119642583
67,80,0.8239229805771449
386,397,0.8238814343314211
272,274,0.8234045697974853
406,503,0.8231060325183995
108,183,0.8227439319334151
95,96,0.8222037031950546
95,508,0.8213888596056302
445,447,0.8210940846663181
29,227,0.8208659134559776
123,237,0.8208460202707456
274,277,0.820731160569888
25,413,0.8205647352974315
230,310,0.8203199249469695
83,85,0.8200662266453985
252,549,0.8197100459051064
185,283,0.8192145433990641
344,384,0.8180256024070107
421,478,0.8169241200804163
313,398,0.8167025015041902
110,392,0.8163653330414441
182,235,0.8157503247027329
151,283,0.8156104012096437
360,404,0.8154561432583357
370,372,0.8151491252897685
427,540,0.8150809356170596
413,518,0.8142386638330289
180,235,0.8140057926223204
29,518,0.8139159524508437
313,570,0.813811081559543
111,185,0.8136599082600808
126,127,0.813176525605906
