Node1,Node2,Correlation
10,330,0.5022084163994728
10,331,0.5879687681113208
10,334,0.5354883129701798
10,344,0.5278516065114633
10,345,0.5814071199393992
10,350,0.5040445117427584
10,358,0.5754267412777966
10,359,0.5584780485971761
10,364,0.562250486054976
10,389,0.593415397278561
10,394,0.5395539091307912
10,406,0.5447187837844812
10,408,0.5076946447978643
10,447,0.5383394115556711
10,502,0.569565628234589
10,503,0.5253691266647985
10,510,0.5876225413430697
10,565,0.5546638297929192
11,15,0.6754367264921074
11,28,0.6972301220718616
11,30,0.5612717396154122
11,31,0.6340313533141738
11,42,0.763220384566469
11,60,0.6047037446810709
11,83,0.6063495975230259
11,85,0.6298462654317786
11,89,0.839292245737616
11,90,0.5015896209999038
11,103,0.6556765396402576
11,106,0.7334248324172088
11,107,0.6081393538208063
11,113,0.7206710347978867
11,114,0.512332851795594
11,126,0.5579240857443395
11,127,0.5977384062626412
11,179,0.7567656420099387
11,180,0.609859996279438
11,206,0.5704197170376645
11,217,0.7350277566771332
11,221,0.6215573220978493
11,222,0.550694125072415
11,223,0.5505992811708426
11,238,0.5164077672296291
11,243,0.5308063522679082
11,250,0.5268150114197853
11,254,0.5698012530027027
11,257,0.5475347412013891
11,258,0.5405327889344554
11,263,0.639749130988724
11,267,0.6629120096181427
11,297,0.7999682745989318
11,399,0.5212950363650437
11,400,0.6409291454816568
11,452,0.5634839058465159
11,462,0.6040918071106414
11,463,0.7741381251683047
11,466,0.6532454348142155
11,509,0.5516293191152842
11,527,0.5571267404291259
11,536,0.5632672811840145
12,103,0.500037293562191
13,22,0.5068644800649127
13,26,0.6313772470431344
13,39,0.5474555443051845
13,71,0.5568878508747676
13,186,0.5227910589005235
13,208,0.5384946814426065
13,265,0.5357594956611325
13,270,0.6045355840461387
13,271,0.5647709275992269
13,272,0.5226423674557701
13,274,0.5408144091151136
13,275,0.6508511226847516
13,284,0.548868879706073
13,285,0.6129612820907963
13,286,0.6042894415023247
13,291,0.5002454157500578
13,299,0.6115584376502644
13,303,0.5168564733241455
13,307,0.5579835247510442
13,354,0.6083969837182485
13,360,0.5019510071853134
13,361,0.5861182588896697
13,398,0.5083653244846794
13,428,0.5917324998300529
13,532,0.5482023883116453
13,553,0.5384651106740496
13,559,0.5177136528355021
13,563,0.5868410491009434
13,564,0.5559080481267545
13,568,0.516791308981151
13,571,0.6029732496130535
13,573,0.5936670131276368
14,21,0.561151844991198
14,23,0.5047227337197383
14,93,0.5295489850025897
14,95,0.5525504413444028
14,99,0.6123019205404653
14,110,0.5937974836769626
14,111,0.6052843280550101
14,185,0.5812524020380704
14,305,0.5175573227602156
14,392,0.5037240605952914
14,402,0.5742395396933799
14,403,0.6403730458775986
14,473,0.5341555991003252
14,574,0.5165593103377585
15,20,0.6250973027716987
15,25,0.5667509160522225
15,42,0.53478438872823
15,223,0.5254850684137266
15,241,0.525008553639939
15,243,0.5340706806889157
15,291,0.5035243080700554
15,297,0.5656928528217687
15,298,0.522480724257806
16,231,0.5030673534147893
16,235,0.5200518435117941
17,19,0.6694807649355865
17,39,0.5267373080589833
17,43,0.5090888858787456
17,150,0.5387134701084461
17,210,0.5393975279677372
17,268,0.7166303071801975
17,285,0.5435597003843247
17,299,0.5776676177544969
17,302,0.7377651388711705
17,304,0.599909553814478
17,561,0.5192097729941292
17,564,0.5055785733080118
19,39,0.5640191000015814
19,77,0.507917438576179
19,85,0.5196051704079454
19,150,0.5224617699384811
19,208,0.5632820221274201
19,221,0.5179650673132105
19,268,0.5353787165083631
19,279,0.6333394464821306
19,280,0.5774980425776932
19,281,0.5153066110633879
19,285,0.5621637872500883
19,302,0.54355611039108
19,304,0.5685329750409521
19,446,0.5212848504073335
19,463,0.5054735419177917
19,511,0.5215703469864733
19,563,0.5213062176315132
19,572,0.5437293481951081
20,25,0.9370382835220079
20,29,0.7028183946369394
20,94,0.7455165368923263
20,230,0.6706893286158034
20,273,0.5177043721717215
20,286,0.5464236616162845
20,287,0.5209918116094728
20,306,0.5275535149900289
20,307,0.783206769881104
20,310,0.6772764891116757
20,311,0.5344414409414844
20,327,0.5262948238264628
20,375,0.500721531607545
20,377,0.6363256148530768
20,413,0.7485230253855018
20,414,0.6633601651016561
20,421,0.5008010604456355
20,465,0.5970187378257115
20,518,0.7455792597109904
20,519,0.6083980321858506
20,521,0.5554685695940622
20,532,0.5052999125090218
21,23,0.6438370149801077
21,34,0.5327371391121608
21,305,0.5092894155021135
21,378,0.5395306805029256
21,403,0.5172054220557325
22,25,0.5582081402096528
22,45,0.6150359870592952
22,49,0.5293001454330318
22,130,0.5501264772936835
22,134,0.5335266590188427
22,174,0.6156153936724164
22,175,0.5086080061060653
22,186,0.6224298348376178
22,227,0.5216262249707817
22,268,0.5226943561114864
22,269,0.6390794840010288
22,270,0.6869320678698531
22,271,0.6026213913520954
22,273,0.5157122758118347
22,284,0.5354585774735489
22,286,0.5373395561001177
22,307,0.7163456058003207
22,310,0.666078402834001
22,320,0.591281428006586
22,327,0.6416506700636099
22,333,0.5434493378606228
22,385,0.5423771560239609
22,414,0.56594185862975
22,418,0.5106017708917752
22,421,0.5692965320787919
22,423,0.5039587799930779
22,472,0.5491440428555526
22,518,0.5418455259077753
22,519,0.5596706674625739
22,532,0.5465683166760525
22,540,0.5425575117182959
22,561,0.5679813553227002
23,34,0.5525745704986689
23,48,0.5101516494521409
23,99,0.5304411520600117
23,110,0.5681435021183303
23,111,0.5101092400232551
23,185,0.5310017542453731
23,272,0.5107741139160392
23,295,0.5223388253208473
23,383,0.5190135289999165
