Node,Label,Network,Hemisphere,Region,Parcel ID,X,Y,Z
119,7Networks_LH_DorsAttn_PrCv_1,7Networks,LH,DorsAttn_PrCv,1,-43.238755893600825,6.2073446348664305,25.074867201188482
120,7Networks_LH_DorsAttn_PrCv_2,7Networks,LH,DorsAttn_PrCv,2,-56.2563716857328,6.5176789596091,25.769772278312388
121,7Networks_LH_DorsAttn_PrCv_3,7Networks,LH,DorsAttn_PrCv,3,-45.722382696358466,2.6991541972579256,37.00726230980476
122,7Networks_LH_SalVentAttn_ParOper_1,7Networks,LH,SalVentAttn_ParOper,1,-46.22859891374097,-37.77982752348563,24.23220360977936
123,7Networks_LH_SalVentAttn_ParOper_2,7Networks,LH,SalVentAttn_ParOper,2,-57.315484115972566,-43.740278096430615,27.4388503456951
124,7Networks_LH_SalVentAttn_ParOper_3,7Networks,LH,SalVentAttn_ParOper,3,-58.70724320384565,-29.45087459249587,21.464467677582476
125,7Networks_LH_SalVentAttn_ParOper_4,7Networks,LH,SalVentAttn_ParOper,4,-58.94765216681054,-19.35232823423069,30.249792271010264
126,7Networks_LH_SalVentAttn_ParOper_5,7Networks,LH,SalVentAttn_ParOper,5,-61.291130388534526,-36.473128178418975,33.39827651546631
127,7Networks_LH_SalVentAttn_ParOper_6,7Networks,LH,SalVentAttn_ParOper,6,-63.81565845574258,-26.05884096883517,35.33703255700999
128,7Networks_LH_SalVentAttn_TempOcc_1,7Networks,LH,SalVentAttn_TempOcc,1,-56.58110424243978,-56.33733569072826,12.530156251043081
129,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks,LH,SalVentAttn_FrOperIns,1,-39.081024776229214,2.562328408641079,-10.40862608777239
130,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks,LH,SalVentAttn_FrOperIns,2,-39.842278964765796,-8.356266583936915,-8.574003206514234
131,7Networks_LH_SalVentAttn_FrOperIns_3,7Networks,LH,SalVentAttn_FrOperIns,3,-38.96753330914515,2.099207894427508,0.46487369034954185
132,7Networks_LH_SalVentAttn_FrOperIns_4,7Networks,LH,SalVentAttn_FrOperIns,4,-34.75890391178322,29.343188892682676,-0.21440756515087855
133,7Networks_LH_SalVentAttn_FrOperIns_5,7Networks,LH,SalVentAttn_FrOperIns,5,-40.52607199438805,-14.530116124758635,-0.498771435034179
134,7Networks_LH_SalVentAttn_FrOperIns_6,7Networks,LH,SalVentAttn_FrOperIns,6,-32.95890514398691,18.799168614404536,7.658384645623819
135,7Networks_LH_SalVentAttn_FrOperIns_7,7Networks,LH,SalVentAttn_FrOperIns,7,-36.875951706018924,-3.5055656303296274,8.717454469426698
136,7Networks_LH_SalVentAttn_FrOperIns_8,7Networks,LH,SalVentAttn_FrOperIns,8,-36.9995537139786,3.2595406144857435,12.347453520322837
137,7Networks_LH_SalVentAttn_FrOperIns_9,7Networks,LH,SalVentAttn_FrOperIns,9,-43.692817720071815,11.17459839327114,1.8914641737728672
138,7Networks_LH_SalVentAttn_FrOperIns_10,7Networks,LH,SalVentAttn_FrOperIns,10,-51.955871263051534,1.562338651566023,4.272234627174747
139,7Networks_LH_SalVentAttn_FrOperIns_11,7Networks,LH,SalVentAttn_FrOperIns,11,-55.17845137639833,7.907719964449029,12.80294560871068
140,7Networks_LH_SalVentAttn_PFCl_1,7Networks,LH,SalVentAttn_PFCl,1,-29.169944347850375,45.8221344470258,27.04642442283962
141,7Networks_LH_SalVentAttn_PFCl_2,7Networks,LH,SalVentAttn_PFCl,2,-25.2734487112251,36.681596522610036,37.1448521982518
142,7Networks_LH_SalVentAttn_Med_1,7Networks,LH,SalVentAttn_Med,1,-6.75233979138352,27.27679285776081,28.431941311507714
143,7Networks_LH_SalVentAttn_Med_2,7Networks,LH,SalVentAttn_Med,2,-6.0876205451900915,16.842883144945276,36.73059164630992
144,7Networks_LH_SalVentAttn_Med_3,7Networks,LH,SalVentAttn_Med,3,-4.740083847124296,4.012407432729603,37.14273199258963
