id,Label,Network,Hemisphere,Region,Parcel ID,x,y,degree_centrality,r,eigenvector_centrality,closeness_centrality,region_name,network_name
60,7Networks_LH_SomMot_29,7Networks,LH,SomMot,29,-47.37449258858746,-17.514802201068335,0.031413612565445,0.0154965064674586,1.0954683852642837e-05,0.2473677778266629,Somatomotor network,Somatomotor
61,7Networks_LH_SomMot_30,7Networks,LH,SomMot,30,-50.756283802816114,-26.61764946737541,0.0104712041884816,0.0003327204756678,0.0002232498192238,0.2290204789525899,Somatomotor network,Somatomotor
62,7Networks_LH_SomMot_31,7Networks,LH,SomMot,31,-41.43955111995871,-13.325473226429452,0.0122164048865619,0.0019510031090239,0.0001005381475161,0.2496051347770454,Somatomotor network,Somatomotor
63,7Networks_LH_SomMot_32,7Networks,LH,SomMot,32,-6.068687679590525,-14.928378748567134,0.0226876090750436,0.0020760734450269,0.0004510874292182,0.2629848025137542,Somatomotor network,Somatomotor
64,7Networks_LH_SomMot_33,7Networks,LH,SomMot,33,-44.70943361863255,-23.050140291091893,0.0034904013961605,0.0,1.751408840622657e-07,0.1820080310884556,Somatomotor network,Somatomotor
65,7Networks_LH_SomMot_34,7Networks,LH,SomMot,34,-39.68108077558267,-24.602939075798588,0.0052356020942408,0.0,2.9052948276944296e-05,0.2171920725138186,Somatomotor network,Somatomotor
66,7Networks_LH_SomMot_35,7Networks,LH,SomMot,35,-40.57082986738101,-35.44087287052426,0.0157068062827225,0.0002834164375453,0.0017027364614346,0.2559718744467207,Somatomotor network,Somatomotor
67,7Networks_LH_SomMot_36,7Networks,LH,SomMot,36,-35.710831709315656,-45.64802552326856,0.0139616055846422,0.0007657749104311,0.0017256346961219,0.2472292740316872,Somatomotor network,Somatomotor
68,7Networks_LH_SomMot_37,7Networks,LH,SomMot,37,-34.30187929575921,-18.27015764961948,0.0506108202443281,0.0040334863325408,0.0057404938839171,0.3070594460504822,Somatomotor network,Somatomotor
69,7Networks_LH_SomMot_38,7Networks,LH,SomMot,38,-4.0910232282405445,-8.021132327896055,0.0087260034904013,0.0007385304969512,1.8487443052797e-05,0.236123787925451,Somatomotor network,Somatomotor
70,7Networks_LH_SomMot_39,7Networks,LH,SomMot,39,-8.489526913091538,-40.87481476262212,0.0052356020942408,0.0005564882801569,5.912205587589473e-05,0.2422114555241872,Somatomotor network,Somatomotor
71,7Networks_LH_SomMot_40,7Networks,LH,SomMot,40,-3.907903283451717,-25.84363784526208,0.0680628272251308,0.0078586061576793,0.0174099470662057,0.3249091121564337,Somatomotor network,Somatomotor
72,7Networks_LH_SomMot_41,7Networks,LH,SomMot,41,-29.24705897742196,-11.00501704992432,0.0279232111692844,0.0019607059197207,0.0040489320484197,0.298749312192553,Somatomotor network,Somatomotor
73,7Networks_LH_SomMot_42,7Networks,LH,SomMot,42,-27.45696659786981,-39.97544814231275,0.0226876090750436,0.0014476963439057,0.0028104858670118,0.2614277580938978,Somatomotor network,Somatomotor
74,7Networks_LH_SomMot_43,7Networks,LH,SomMot,43,-31.439713709748816,-28.79620827598754,0.0122164048865619,0.0002698217043346,0.0002177804693134,0.2207757417102966,Somatomotor network,Somatomotor
75,7Networks_LH_SomMot_44,7Networks,LH,SomMot,44,-27.39950215144817,-47.83508063506599,0.0680628272251308,0.0050846565259256,0.0436208253890451,0.3064201828040203,Somatomotor network,Somatomotor
76,7Networks_LH_SomMot_45,7Networks,LH,SomMot,45,-30.234921709208933,-35.710243342191355,0.0157068062827225,0.0005679753228588,0.0018247378383979,0.2589744770795269,Somatomotor network,Somatomotor
77,7Networks_LH_SomMot_46,7Networks,LH,SomMot,46,-20.7046804226935,-11.85699480362237,0.0122164048865619,0.0023717649075123,8.758679375903465e-05,0.2490420098254897,Somatomotor network,Somatomotor
